Year,Dataset1,Dataset2,Difference,Difference%
2008,3.4,3.4,0.0,0.0
2009,3.84,3.84,0.0,0.0
2010,4.3,4.3,0.0,0.0
2011,5.0,5.0,0.0,0.0
2012,7.5,7.5,0.0,0.0
2013,10.0,10.0,0.0,0.0
2014,16.2149,16.2149,0.0,0.0
2015,18.3,18.3,0.0,0.0
2016,20.6,20.6,0.0,0.0
2017,23.203,23.203,0.0,0.0
2018,29.7,29.7,0.0,0.0
2019,36.5392,36.5392,0.0,0.0
2020,41.2264,41.2264,0.0,0.0
2021,42.0405,42.5456,-0.5050999999999988,-1.1871967959083871
2022,41.775,43.8629,-2.0879000000000048,-4.760059184413262
2005,0.238038,0.238038,0.0,0.0
2006,0.296054,0.296054,0.0,0.0
2007,0.37,0.37,0.0,0.0
2008,0.44,0.44,0.0,0.0
2009,0.56,0.56,0.0,0.0
2010,0.72,0.72,0.0,0.0
2011,1.2,1.2,0.0,0.0
2012,1.67996,1.67996,0.0,0.0
2013,2.2,2.2,0.0,0.0
2014,3.0,3.0,0.0,0.0
2015,3.8,3.8,0.0,0.0
2016,10.1,10.1,0.0,0.0
